-3 -0,9999778948511022
2,109375 0,9971464770577086
2,125 0,99734583210427
2,140625 0,9975323795423389
2,15625 0,9977068570138388
2,171875 0,9978699658337551
2,1875 0,9980223723554393
2,203125 0,9981647093129722
2,21875 0,9982975771389176
2,234375 0,9984215452559808
2,25 0,9985371533412499
2,265625 0,998644912561874
2,28125 0,9987453067811803
2,296875 0,9988387937343888
2,3125 0,9989258061732258
2,328125 0,9990067529788704
2,34375 0,9990820202428
2,359375 0,9991519723152186
2,375 0,9992169528208673
2,390625 0,9992772856421233
2,40625 0,9993332758693885
2,421875 0,9993852107188679
2,4375 0,9994333604179148
2,453125 0,9994779790582069
2,46875 0,9995193054170816
2,484375 0,99955756374743
2,5 0,999592964536606
2,515625 0,9996257052348608
2,53125 0,9996559709538616
2,546875 0,9996839351358954
2,5625 0,9997097601943968
2,578125 0,9997335981264713
2,59375 0,9997555910981113
2,609375 0,9997758720028286
2,625 0,9997945649944447
2,640625 0,9998117859947957
2,65625 0,9998276431771193
2,671875 0,999842237425902
2,6875 0,9998556627739676
2,703125 0,9998680068175911
2,71875 0,9998793511104198
2,734375 0,9998897715369834
2,75 0,9998993386665673
2,765625 0,9999081180882137
2,78125 0,999916170727611
2,796875 0,9999235531466156
2,8125 0,9999303178261405
2,828125 0,9999365134331297
2,84375 0,9999421850723231
2,859375 0,9999473745234987
2,875 0,9999521204648648
2,890625 0,9999564586832529
2,90625 0,999960422271747
2,921875 0,9999640418153641
2,9375 0,999967345565382
2,953125 0,99997035960289
2,96875 0,9999731079921202
2,984375 0,999975612924094
3 0,9999778948511022
