# x_n y_n
0 3,041592653589793
4,373239150622978 1,2713555018820843
4,3932391506229775 1,2983917419991955
4,413226280233579 1,3233558052173977
4,433134119761959 1,346176446886056
4,452912438497034 1,3668277965790034
4,4725274944034785 1,385320719892703
4,4919607437089395 1,4016927793770244
4,5112065780916915 1,4159984893423778
4,53026968273997 1,4283009435864045
4,549162450372724 1,4386652695581228
4,567902702947854 1,4471539094996873
4,586511823291913 1,4538234803562577
4,605013300586485 1,4587228749851053
4,623431640856323 1,4618922749920271
4,641791572810953 1,4633627991318099
4,6601174774949845 1,4631565779009452
4,678432977483975 1,461287107757636
4,696760631686202 1,4577597907697513
4,715121691811482 1,4525726066128117
4,733535884723641 1,4457168955222424
4,752021190801922 1,4371782556187211
4,770593592363512 1,4269375783175893
4,789266768845598 1,4149722628689643
4,808051717876758 1,401257665844157
4,826956285039357 1,3857688523909846
4,845984591925128 1,3684827200775487
4,865136364287223 1,349380557417343
4,884406182032683 1,3284510695438083
4,9037827020669535 1,3056938434675178
4,923247942915278 1,2811231272777777
4,942776761533576 1,254771661912527
4,962336686411662 1,2266941474785493
4,98188827942921 1,196969788719105
5,001386162817987 1,1657033078543122
5,020780756209114 1,133023902444549
5,040020631495657 1,0990818936010027
5,059055245085655 1,064043220082418
5,0778376991087075 1,0280823751351287
5,09632715884968 0,9913747075995487
5,114490625231009 0,9540891037690393
5,132303901921433 0,9163819105978405
5,149751756106577 0,8783926294145254
5,16682740152361 0,8402415271508301
5,183531504905559 0,8020289917230445
5,1998709310242 0,7638362604440909
5,215857413013749 0,7257270803133907
5,231506285010088 0,6877498857016054
5,246835361371733 0,6499401597067046
5,261864001880716 0,612322743376248
5,2766123697480545 0,5749139479232971
5,2911008688745005 0,5377233973969238
5,305349736314083 0,5007555803545888
5,319378762320035 0,4640111212678212
5,333207111070996 0,4274877999864412
5,346853218161494 0,39118135504752116
5,36033474483128 0,35508610769035176
5,3736685728786275 0,3191954409161963
5,386870827816062 0,2835021637056163
5,39995692089784 0,24799878576084253
5,412941603140168 0,21267772355100195
5,42583902640941 0,17753145434094947
5,438662808145956 0,14255263140810925
5,451426097406194 0,10773417080510349
5,464141640721171 0,07306931775723136
5,476821846856482 0,038551699016166896
5,489478849969232 0,004175366142963641
5,502124570938463 -0,030065166311081686
5,51477077682823 -0,06417488448292752
5,527429138551739 -0,09815823799277752
5,540111286857529 -0,13201909942788323
5,552828866765274 -0,16576071824848929
5,565593590545242 -0,19938566687739281
5,578417289262993 -0,232895776643342
5,59131196279658 -0,26629206104480324
5,604289828070409 -0,29957462348609737
5,617363365026254 -0,33274254621011085
5,6305453595510775 -0,36579375660579205
5,643848942180549 -0,3987248663991835
5,657287620866818 -0,4315309784415743
5,670875305401758 -0,4642054548936113
